# Date	Day	Cases	Change	Tests  Change Recovered	Change	Deaths	Change	Notes
03-05	0	1	1	0	0	0	0	0	0	# 
03-06	1	1	0	200	200	0	0	0	0	# 
03-07	2	2	1	241	41	0	0	0	0	# 
03-08	3	3	1	241	0	0	0	0	0	# 
03-09	4	7	4	241	0	0	0	0	0	# 
03-10	5	7	0	241	0	0	0	0	0	# 
03-11	6	13	6	645	404	0	0	0	0	# 
03-12	7	16	3	848	203	0	0	0	0	# 
03-13	8	24	8	924	76	0	0	0	0	# 
03-14	9	38	14	1017	93	0	0	0	0	# 
03-15	10	51	13	1476	459	0	0	0	0	# State of disaster
03-16	11	62	11	2405	929	0	0	0	0	# 
03-17	12	85	23	2911	506	0	0	0	0	# 
03-18	13	116	31	3070	159	0	0	0	0	# Schools and universities close
03-19	14	150	34	4832	1762	0	0	0	0	# 
03-20	15	202	52	6438	1606	0	0	0	0	# 
03-21	16	240	38	7425	987	2	2	0	0	# 
03-22	17	274	34	9315	1890	2	0	0	0	# 
03-23	18	402	128	12815	3500	4	2	0	0	# lvl5 lockdown announced
03-24	19	554	152	15529	2714	4	0	0	0	# 
03-25	20	709	155	15529	0	4	0	0	0	# 
03-26	21	927	218	20471	4942	4	0	0	0	# 
03-27	22	1170	243	28537	8066	31	27	1	1	# lvl5 lockdown started
03-28	23	1187	17	31963	3426	31	0	1	0	# 
03-29	24	1280	93	35593	3630	31	0	2	1	# 
03-30	25	1326	46	38409	2816	31	0	3	1	# 
03-31	26	1353	27	41072	2663	31	0	5	2	# 
04-01	27	1380	27	44292	3220	31	0	5	0	# 
04-02	28	1462	82	47965	3673	45	14	7	2	# 
04-03	29	1505	43	50361	2396	45	0	9	2	# 
04-04	30	1585	80	53937	3576	45	0	9	0	# 
04-05	31	1655	70	56873	2936	45	0	11	2	# 
04-06	32	1686	31	58098	1225	45	0	12	1	# 
04-07	33	1749	63	58098	0	45	0	13	1	# 
04-08	34	1845	96	63776	5678	45	0	18	5	# 
04-09	35	1934	89	68874	5098	45	0	18	0	# Extension of lvl5 lockdown announced
04-10	36	2003	69	73028	4154	410	365	24	6	# Easter
04-11	37	2028	25	75053	2025	410	0	25	1	# Easter
04-12	38	2173	145	80085	5032	410	0	25	0	# Easter
04-13	39	2273	99	83663	3578	410	0	27	2	# Easter
04-14	40	2415	143	87022	3359	410	0	27	0	# Mines started with 50% productivity
04-15	41	2506	91	90515	3493	410	0	34	7	# 
04-16	42	2605	99	95060	4545	903	493	48	14	# 
04-17	43	2783	178	100827	5767	903	0	50	2	# 
04-18	44	3034	251	108021	7194	903	0	52	2	# 
04-19	45	3158	124	114711	6690	903	0	54	2	# 
04-20	46	3300	142	121510	6799	1055	152	58	4	# 
04-21	47	3465	165	126937	5427	1055	0	58	0	# Economic recovery plan announced
04-22	48	3635	170	133774	6837	1055	0	65	7	# 
04-23	49	3953	318	143570	9796	1473	418	75	10	# Phased lockdown lifting announced
04-24	50	4220	267	152390	8820	1473	0	79	4	# 
04-25	51	4361	141	161004	8614	1473	0	86	7	# 
04-26	52	4546	185	168643	7639	1473	0	87	1	# 
04-27	53	4793	247	178470	9827	1473	0	90	3	# Freedom day
04-28	54	4996	203	185497	7027	2073	600	93	3	# 
04-29	55	5350	354	197127	11630	2073	0	103	10	# Western Cape increased testing
04-30	56	5647	297	207530	10403	2073	0	103	0	# 
05-01	57	5951	304	217522	9992	2382	309	116	3	# Workers day; lvl4 lockdown started
05-02	58	6336	385	230686	13164	2549	167	123	7	# 
05-03	59	6783	447	245747	15061	2549	0	131	8	# 
05-04	60	7220	437	257541	11794	2746	197	138	7	# 
05-05	61	7572	352	268064	10523	2746	0	148	10	# 
05-06	62	7808	236	279379	11315	3153	407	153	5	# 
05-07	63	8232	424	292153	12774	3153	0	161	8	# 
05-08	64	8895	663	307752	15599	3153	0	178	17	# Provinsial travel to return home end
05-09	65	9420	525	324079	16327	3983	830	186	8	# 
05-10	66	10015	595	341336	17257	4173	190	194	8	# 
05-11	67	10652	637	356067	14731	4357	184	206	12	# 
05-12	68	11350	698	369697	13630	4357	0	206	0	# 
05-13	69	12074	724	386352	16655	4745	388	219	13	# 
05-14	70	12739	665	403018	16666	5676	931	238	19	# 
05-15	71	13524	785	421555	18537	6083	407	247	9	# 
05-16	72	14355	831	439559	18004	6478	395	261	14	# 
